Job Title,Company,Location,Salary,Experience,Posted Date,Job URL,Salary_num,City
Business Development Associate,Civilsdaily,Delhi,"₹ 4,10,000 - 6,00,000",1,3,https://internshala.com/job/detail/business-development-associate-job-in-delhi-at-civilsdaily1764669726,4.0,Delhi
Inside Sales Executive,ICPURE India Private Limited,Delhi,"₹ 4,50,000 - 7,80,000",0,5,https://internshala.com/job/detail/fresher-inside-sales-executive-job-in-delhi-at-icpure-india-private-limited1767338295,4.0,Delhi
Business Development Executive,Team Promotions,Noida,"₹ 5,00,000 - 15,00,000",0,7,https://internshala.com/job/detail/fresher-business-development-executive-job-in-noida-at-team-promotions1767168184,5.0,Noida
Inside Sales Representative Trainee,KnowledgeChakra,Bangalore,"₹ 4,00,000 - 5,00,000",0,5,https://internshala.com/job/detail/fresher-inside-sales-representative-trainee-job-in-bangalore-at-knowledgechakra1767334420,4.0,Bangalore
Academic Counsellor,PlanetSpark,"Chennai,Madurai,Bangalore","₹ 6,50,000 - 7,50,000",0,3,https://internshala.com/job/detail/fresher-academic-counsellor-job-in-multiple-locations-at-planetspark1767588617,6.0,Chennai
Business Development Trainee,KnowledgeChakra,Bangalore,"₹ 4,00,000 - 5,00,000",0,5,https://internshala.com/job/detail/fresher-business-development-trainee-job-in-bangalore-at-knowledgechakra1767334137,4.0,Bangalore
Corporate Sales Associate - B2B,Internshala,Gurgaon,"₹ 6,60,000 - 7,50,000",1,2,https://internshala.com/job/detail/corporate-sales-associate-b2b-job-in-gurgaon-at-internshala1766413084,6.0,Gurgaon
Project Head – Healthcare & Education Program,E-Physioneeds OPC Private Limited,Delhi,"₹ 4,00,000 - 8,00,000",1,2,https://internshala.com/job/detail/project-head--healthcare-education-program-job-in-delhi-at-e-physioneeds-opc-private-limited1766131123,4.0,Delhi
Business Operations Executive - Sales,KnowledgeChakra,Bangalore,"₹ 4,50,000 - 5,50,000",0,5,https://internshala.com/job/detail/fresher-business-operations-executive-sales-job-in-bangalore-at-knowledgechakra1767335375,4.0,Bangalore
Field Sales Executive,Icareheal,Mumbai,"₹ 4,20,000 - 12,20,000",0,1,https://internshala.com/job/detail/fresher-field-sales-executive-job-in-mumbai-at-icareheal1767009225,4.0,Mumbai
Human Resources (HR) Associate,Career Pro Ventures Limited,Delhi,"₹ 11,00,000 - 22,00,000",1,3,https://internshala.com/job/detail/human-resources-hr-associate-job-in-delhi-at-rohit-singh1765970955,11.0,Delhi
Admission Counselor,Scaler,Bangalore,"₹ 7,00,000 - 12,00,000",1,2,https://internshala.com/job/detail/admission-counselor-job-in-bangalore-at-scaler1766475996,7.0,Bangalore
Specialist - Retail,Cheil India,Mumbai,"₹ 6,00,000",1,0,https://internshala.com/job/detail/specialist-retail-job-in-mumbai-at-cheil-india1767779042,6.0,Mumbai
Business Development Executive,Thryve Z,Bangalore,"₹ 5,60,000 - 7,00,000",0,1,https://internshala.com/job/detail/fresher-business-development-executive-job-in-bangalore-at-thryve-z1766984807,5.0,Bangalore
Junior Business Development Executive,Simform Solutions Private Limited,Ahmedabad,"₹ 5,00,000 - 8,00,000",0,2,https://internshala.com/job/detail/fresher-junior-business-development-executive-job-in-ahmedabad-at-simform-solutions-private-limited1766482034,5.0,Ahmedabad
Junior Business Analyst,Innova Solutions,Hyderabad,"₹ 4,60,000 - 7,20,000",0,1,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-hyderabad-at-innova-solutions1767098504,4.0,Hyderabad
Online Data Analyst - Odia Speakers (Remote),"TELUS International AI Inc. (Las Vegas, United States)",Work from home,"₹ 4,50,000 - 4,60,000",0,2,https://internshala.com/job/detail/fresher-remote-part-time-online-data-analyst-odia-speakers-remote-job-at-telus-international-ai-inc1766472826,4.0,Work from home
Junior Engineer,Manpower Group Services India,"Chennai,Pune,Hyderabad,Vadodara,Mumbai,Vijayawada,Raipur,Bangalore","₹ 4,00,000 - 8,50,000",1,3,https://internshala.com/job/detail/junior-engineer-job-in-multiple-locations-at-manpower-group-services-india1765268266,4.0,Chennai
Customer Acquisition Associate,WWF-India,Delhi,"₹ 4,00,000 - 6,50,000",1,2,https://internshala.com/job/detail/customer-acquisition-associate-job-in-delhi-at-wwf-india1766218176,4.0,Delhi
Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,"₹ 4,00,000 - 6,00,000",0,2,https://internshala.com/job/detail/fresher-sales-executive-job-in-bangalore-at-nobroker-technologies-solutions-private-limited1766048051,4.0,Bangalore
Inside Sales Associate,Cars24 Services Private Limited,"Faridabad,Pune,Hyderabad,Bangalore","₹ 3,60,000 - 4,50,000",0,1,https://internshala.com/job/detail/fresher-inside-sales-associate-job-in-multiple-locations-at-cars24-services-private-limited1767096630,3.0,Faridabad
Procurement Associate (Inside Sales),Cars24 Services Private Limited,"Faridabad,Pune,Hyderabad,Bangalore","₹ 3,60,000 - 4,50,000",0,1,https://internshala.com/job/detail/fresher-procurement-associate-inside-sales-job-in-multiple-locations-at-cars24-services-private-limited1767096456,3.0,Faridabad
Relationship Manager,Mahindra Holidays & Resorts India Limited,"Mysuru,Ooty,Munnar,Virajpet,Kumily,Dindi,Alappuzha,Poovar,Coorg Colony,Pondy,Ashtamudi","₹ 3,50,000 - 3,70,000",0,2,https://internshala.com/job/detail/fresher-relationship-manager-job-in-multiple-locations-at-mahindra-holidays-resorts-india-limited1766036384,3.0,Mysuru
Sales Associate,Hansa Cequity,"Thane,Navi Mumbai,Mumbai","₹ 3,50,000",0,0,https://internshala.com/job/detail/fresher-sales-associate-job-in-multiple-locations-at-hansa-cequity1767778991,3.0,Thane
Business Development Associate,Responsive Industries Limited,Mumbai,"₹ 3,40,000 - 4,60,000",0,7,https://internshala.com/job/detail/fresher-business-development-associate-job-in-mumbai-at-responsive-industries-limited1767162658,3.0,Mumbai
Corporate Sales Executive,Decathlon Sports India,Bangalore,"₹ 3,36,000 - 3,60,000",0,3,https://internshala.com/job/detail/fresher-corporate-sales-executive-job-in-bangalore-at-decathlon-sports-india1765885489,3.0,Bangalore
Junior Talent Acquisition Executive,NJ India Invest Private Limited,Surat,"₹ 3,20,000 - 3,75,000",1,3,https://internshala.com/job/detail/junior-talent-acquisition-executive-job-in-surat-at-nj-india-invest-private-limited1765875842,3.0,Surat
Junior Talent Acquisition Executive,NJ India Invest Private Limited,Surat,"₹ 3,15,000 - 3,75,000",1,3,https://internshala.com/job/detail/junior-talent-acquisition-executive-job-in-surat-at-nj-india-invest-private-limited1765878569,3.0,Surat
EdTech Sales Associate,Tutopia Private Limited,Kolkata,"₹ 3,04,000 - 5,64,000",0,0,https://internshala.com/job/detail/fresher-edtech-sales-associate-job-in-kolkata-at-tutopia-private-limited1767847752,3.0,Kolkata
